name,type,score,raitings,hex,rgb,category,marca
sheer luck,classic,5,3,#f4e1e8,"rgb(244,225,225)",sheers,essie
always transparent,exprclassic,0,0,#fafbf8,"rgb(250,251,251)",sheers,essie
tuck it in my tux,classic,3.4,15,#f5f1ee,"rgb(245,241,241)",sheers,essie
desk mani,exprclassic,0,0,#f78963,"rgb(247,137,137)",sheers,essie
marshmallow,classic,4.4,83,#f1e6e3,"rgb(240,228,228)",sheers,essie
waltz,classic,4.8,15,#eae7da,"rgb(234,231,231)",sheers,essie
baby's breath,classic,5,4,#f5e7de,"rgb(245,231,231)",sheers,essie
allure,classic,4.9,19,#f7e7d8,"rgb(246,230,230)",sheers,essie
adore-a-ball,classic,4.6,10,#f9e9e9,"rgb(249,233,233)",sheers,essie
limo-scene,classic,4.3,31,#f0ece4,"rgb(238,234,234)",sheers,essie
pass-port to sail,classic,4,4,#d0c1ad,"rgb(208,193,193)",sheers,essie
east hamption cottage,classic,4.7,7,#f7e4dd,"rgb(247,228,228)",sheers,essie
ballet slippers,classic,4.5,174,#d8bdb9,"rgb(215,188,188)",sheers,essie
angel food,classic,5,6,#f0ddd6,"rgb(240,221,221)",sheers,essie
mademoiselle,classic,4.7,23,#f2d4d5,"rgb(242,212,212)",sheers,essie
skinny dip,classic,4.9,9,#f4cfc4,"rgb(244,207,207)",sheers,essie
vanity fairest,classic,4.6,50,#fee3e0,"rgb(254,227,227)",sheers,essie
hi maintenace,classic,3.8,17,#f1d5e5,"rgb(241,213,213)",sheers,essie
sugar daddy,classic,4.5,81,#fbcfe0,"rgb(251,207,207)",sheers,essie
spaghetti strap,classic,4.3,12,#f1bdc8,"rgb(241,189,189)",sheers,essie
pink glove service,classic,4.9,17,#f7bdc3,"rgb(247,189,189)",sheers,essie
back in the limo,classic,5,3,#f8b8ab,"rgb(248,184,184)",sheers,essie
dress is more,gel couture,5,4,#ffeee6,"rgb(255,238,238)",sheers,essie
blush-worthy,gel couture,4.5,2,#fdbfbd,"rgb(253,191,191)",sheers,essie
lace is more,gel couture,5,1,#ffefeb,"rgb(255,239,239)",whites,essie
let it bow,classic,2,3,#f1efec,"rgb(241,239,239)",whites,essie
twinkle in time,classic,0,0,#ebecf0,"rgb(235,236,236)",whites,essie
all daisy long,classic,4.2,5,#ece5db,"rgb(236,229,229)",whites,essie
get oasis,classic,0,0,#fdebdd,"rgb(253,235,235)",whites,essie
chiffon the move,gel couture,5,2,#f3efec,"rgb(243,239,239)",whites,essie
blanc,classic,4.2,61,#e8e8e8,"rgb(232,232,232)",whites,essie
boing seady,classic,5,2,#ece5d7,"rgb(236,229,229)",whites,essie
galentine,classic,0,0,#f5bdc0,"rgb(245,189,189)",whites,essie
pearly white,classic,4.8,5,#f2ece7,"rgb(242,236,236)",whites,essie
lace to the altar,gel couture,4.1,9,#edeeea,"rgb(237,238,238)",whites,essie
pre-show jitters,gel couture,4.7,15,#fff1f4,"rgb(255,241,241)",whites,essie
oicture perfect,gel couture,4.7,6,#f4eae2,"rgb(244,234,234)",whites,essie
satin slipper,gel couture,5,6,#f8d9c8,"rgb(248,217,217)",whites,essie
urban jungle,classic,0,0,#e5dbd2,"rgb(229,219,219)",whites,essie
lace me up,gel couture,3.9,17,#fee5e4,"rgb(254,229,229)",whites,essie
diamond in the cuff,gel couture,4.6,48,#fcece5,"rgb(252,236,236)",whites,essie
mixtaupe,classic,0,0,#e2d1c9,"rgb(226,209,209)",whites,essie
wearing hue?,gel couture,4.9,9,#fde1e4,"rgb(253,225,225)",whites,essie
imported bubbly,classic,3.6,11,#f6ded4,"rgb(246,222,222)",whites,essie
between the seats,classic,4.6,5,#deccc9,"rgb(222,204,204)",whites,essie
go go geisha,classic,0,0,#e7c3c6,"rgb(231,195,195)",nudes,essie
talk to the sand,classic,5,1,#fee2de,"rgb(254,226,226)",nudes,essie
stirring secrets,classic,5,3,#feddd9,"rgb(254,221,221)",nudes,essie
mind-full meditation,classic,4.8,4,#d6c7c1,"rgb(214,199,199)",nudes,essie
sheer selhouette,gel couture,5,1,#fbb8a8,"rgb(251,184,184)",nudes,essie
last nightie,gel couture,5,1,#e2bbb3,"rgb(226,187,187)",nudes,essie
you're a catch,classic,0,0,#feb6a5,"rgb(254,182,182)",nudes,essie
in full swing,classic,1.5,4,#fdb4aa,"rgb(253,180,180)",nudes,essie
feeling wellies,classic,3.4,7,#feceaa,"rgb(254,206,206)",nudes,essie
buttoned & buffed,gel couture,0,0,#e5b6a6,"rgb(229,182,182)",nudes,essie
rainwear don't care,classic,0,0,#f2dece,"rgb(242,222,222)",nudes,essie
high sewciety,gel couture,0,0,#d8b4b3,"rgb(216,180,180)",nudes,essie
come out to clay,classic,4.5,17,#e9b7b1,"rgb(233,183,183)",nudes,essie
of corset,gel couture,5,2,#e0aa9d,"rgb(224,170,170)",nudes,essie
buns up,exprclassic,0,0,#e2c1b2,"rgb(226,193,193)",nudes,essie
like a rebel,classic,0,0,#d39e95,"rgb(211,158,158)",nudes,essie
home grown,classic,0,0,#e08c6c,"rgb(224,140,140)",nudes,essie
low tide high slit,gel couture,0,0,#ddac9b,"rgb(221,172,172)",nudes,essie
call your bluff,classic,0,0,#c59c94,"rgb(197,156,156)",nudes,essie
of quarts,classic,5,1,#c4a499,"rgb(196,164,164)",nudes,essie
into the a-bliss,classic,4.6,17,#e28a95,"rgb(226,138,138)",nudes,essie
lady like remixed,classic,4.7,96,#e4aaa7,"rgb(228,170,170)",nudes,essie
kaf-tan,classic,5,2,#e18335,"rgb(225,131,131)",nudes,essie
don't be latte,exprclassic,0,0,#b08a62,"rgb(176,138,138)",nudes,essie
mid-day mocha,exprclassic,0,0,#b1927d,"rgb(177,146,146)",nudes,essie
wool me over,gel couture,0,0,#916b58,"rgb(145,107,107)",nudes,essie
on the bright cider,classic,5,4,#cf774f,"rgb(207,119,119)",nudes,essie
cliff hanger,classic,5,1,#bd7257,"rgb(189,114,114)",nudes,essie
rocky rose,classic,4.7,29,#d1493a,"rgb(209,73,73)",nudes,essie
don't be choco-late,classic,0,0,#763126,"rgb(118,49,49)",nudes,essie
bed rock& roll,classic,3.6,8,#83342c,"rgb(131,52,52)",nudes,essie
lighten the mood,classic,4.4,17,#ecd7d6,"rgb(236,215,215)",nudes,essie
don't be salty,classic,5,3,#dbb8af,"rgb(219,184,184)",nudes,essie
sand tropez,classic,4.8,72,#cfb7aa,"rgb(207,183,183)",nudes,essie
topless & barefoot,classic,4.6,62,#c7b4ae,"rgb(199,180,180)",nudes,essie
high class afair,classic,4,3,#facebb,"rgb(250,206,206)",nudes,essie
spin the bottle,classic,4.8,19,#dbbab3,"rgb(219,186,186)",nudes,essie
perennial chic,classic,4,2,#e2ab9b,"rgb(226,171,171)",nudes,essie
handmade of honor,gel couture,5,14,#e7b49d,"rgb(231,180,180)",nudes,essie
spool me over,gel couture,4.7,19,#fcc9ae,"rgb(252,201,201)",nudes,essie
tailor made with love,gel couture,0,0,#e79c8f,"rgb(231,156,156)",nudes,essie
wild nude,classic,4.6,71,#c3a095,"rgb(195,160,160)",nudes,essie
lady like,classic,4.7,96,#cda9b1,"rgb(205,169,169)",nudes,essie
demure vix,classic,4.9,23,#c59d9f,"rgb(197,157,157)",nudes,essie
touch up,gel couture,0,0,#cd94a2,"rgb(205,148,148)",nudes,essie
not just a pretty face,classic,4.7,10,#dec2b9,"rgb(222,194,194)",nudes,essie
bare with me,classic,4.6,25,#d5a696,"rgb(213,166,166)",nudes,essie
at the barre,gel couture,5,7,#eabaa4,"rgb(234,186,186)",nudes,essie
sunny daze,classic,3.5,2,#9b3917,"rgb(155,57,57)",nudes,essie
less is aura,classic,5,3,#c08879,"rgb(192,136,136)",nudes,essie
sew me,gel couture,0,0,#e29181,"rgb(226,145,145)",nudes,essie
pinned up,gel couture,4.6,122,#da8576,"rgb(218,133,133)",nudes,essie
mamba,classic,5,5,#cf8573,"rgb(207,133,133)",nudes,essie
suit & tie,classic,5,1,#c57466,"rgb(197,116,116)",nudes,essie
clothing optional,classic,4.7,16,#9e7169,"rgb(158,113,113)",nudes,essie
buy me a cameo,classic,4.4,19,#c2938a,"rgb(194,147,147)",nudes,essie
tea & crumpets,classic,0,0,#e2ae9d,"rgb(226,174,174)",nudes,essie
on behavve,classic,5,2,#dc8678,"rgb(220,134,134)",nudes,essie
eternal optimist,classic,4.8,57,#edaba1,"rgb(237,171,171)",nudes,essie
princess charming,gel couture,4.7,136,#bd8188,"rgb(189,129,129)",nudes,essie
last nights look,gel couture,5,1,#f2d2d7,"rgb(242,210,210)",nudes,essie
fun in the gondola,classic,5,11,#d26475,"rgb(210,100,100)",nudes,essie
let it glow,classic,4.4,15,#f47f7a,"rgb(244,127,127)",nudes,essie
island hopping,classic,5,2,#905364,"rgb(144,83,83)",nudes,essie
walk the hemline,gel couture,2,4,#905456,"rgb(144,84,84)",nudes,essie
high tide & dives,classic,5,2,#ceb08c,"rgb(206,176,176)",nudes,essie
mochacino,classic,4.9,23,#927f78,"rgb(146,127,127)",nudes,essie
truth or bare,classic,5,1,#6d4d42,"rgb(109,77,77)",nudes,essie
mink muffs,classic,0,0,#6e534e,"rgb(110,83,83)",nudes,essie
teacup half full,classic,5,1,#a36053,"rgb(163,96,96)",nudes,essie
in stitches,classic,4.5,4,#a93b58,"rgb(169,59,59)",nudes,essie
mrs alwars-right,classic,4.8,26,#af455b,"rgb(175,69,69)",nudes,essie
angora cardi,classic,4.7,38,#6b2838,"rgb(107,40,40)",nudes,essie
pearls of wisdom ,gel couture,3.9,15,#763127,"rgb(118,49,49)",nudes,essie
chocolate cakes,classic,4.9,8,#390a06,"rgb(57,10,10)",nudes,essie
seeing stars,classic,5,1,#543a2d,"rgb(84,58,58)",nudes,essie
ballet slippers remixed,classic,4.5,174,#fedfe0,"rgb(254,223,223)",pinks,essie
pillow talk the talk,classic,2.3,3,#f8d9e1,"rgb(248,217,217)",pinks,essie
crish & blush,classic,0,0,#ebb5b6,"rgb(235,181,181)",pinks,essie
bonbon nuit,classic,0,0,#f2d7ed,"rgb(242,215,215)",pinks,essie
matter of fiction,gel couture,4.3,37,#f3d8dd,"rgb(243,216,216)",pinks,essie
ballet sneackers,classic,5,3,#fddae4,"rgb(253,218,218)",pinks,essie
gossamer garments,gel couture,5,2,#fbbdc4,"rgb(251,189,189)",pinks,essie
free to roam,classic,0,0,#fec9d9,"rgb(254,201,201)",pinks,essie
polished and poised,gel couture,0,0,#f3babd,"rgb(243,186,186)",pinks,essie
kissed by mist,classic,3.3,3,#f8c2d6,"rgb(248,194,194)",pinks,essie
wet-suited up,classic,0,0,#ebbfd0,"rgb(235,191,191)",pinks,essie
everithing's rosy,classic,0,0,#fdaeb6,"rgb(253,174,174)",pinks,essie
the snuggle is real,classic,0,0,#de9f98,"rgb(222,159,159)",pinks,essie
gilded goddess,classic,5,1,#e98697,"rgb(233,134,134)",pinks,essie
one way for one,classic,0,0,#e57ba2,"rgb(229,123,123)",pinks,essie
woven with wisdom,gel couture,0,0,#d287a7,"rgb(210,135,135)",pinks,essie
talk sweet to me,classic,0,0,#fc7091,"rgb(252,112,112)",pinks,essie
throw in the towel,classic,0,0,#fa6d86,"rgb(250,109,109)",pinks,essie
blossoms n' besties,classic,0,0,#fd72a2,"rgb(253,114,114)",pinks,essie
going all in,classic,0,0,#b86b7d,"rgb(184,107,107)",pinks,essie
sequ-in the know,gel couture,0,0,#e27179,"rgb(226,113,113)",pinks,essie
satin slipper,classic,5,1,#e17381,"rgb(225,115,115)",pinks,essie
"piece, love & chocolate",classic,0,0,#cf4c81,"rgb(207,76,76)",pinks,essie
sparkles between us,classic,0,0,#d04e7e,"rgb(208,78,78)",pinks,essie
retreat yourself,classic,0,0,#ce6057,"rgb(206,96,96)",pinks,essie
good vibrations,classic,5,1,#dc5a9d,"rgb(220,90,90)",pinks,essie
checked in,exprclassic,5,1,#d78a88,"rgb(215,138,138)",pinks,essie
sleepover squad,classic,0,0,#d13b91,"rgb(209,59,59)",pinks,essie
slumber party on,classic,0,0,#c94072,"rgb(201,64,64)",pinks,essie
no shade here,classic,0,0,#f64069,"rgb(246,64,64)",pinks,essie
garment glory,gel couture,0,0,#a32a59,"rgb(163,42,42)",pinks,essie
gossip n' splill,classic,0,0,#7b1928,"rgb(123,25,25)",pinks,essie
head over wheels,classic,0,0,#bb1170,"rgb(187,17,17)",pinks,essie
peak show,classic,4.4,14,#e8d5de,"rgb(232,213,213)",pinks,essie
minimalistic,classic,4.1,43,#ead5d7,"rgb(234,213,213)",pinks,essie
romper room ,classic,4.9,33,#f6dde1,"rgb(246,221,221)",pinks,essie
polar-izing,classic,0,0,#dec4ca,"rgb(222,196,196)",pinks,essie
"muchi, muchi",classic,4.2,76,#ebd4d5,"rgb(235,212,212)",pinks,essie
wire-less is more,classic,3.7,10,#c19e9f,"rgb(193,158,158)",pinks,essie
pr stunt,gel couture,5,1,#f9c9da,"rgb(249,201,201)",pinks,essie
fiji,classic,4.4,136,#eec4c3,"rgb(238,196,196)",pinks,essie
"young, wild & more",classic,5,2,#e5aba9,"rgb(229,171,171)",pinks,essie
pink diamond,classic,4.5,26,#edb0ba,"rgb(237,176,176)",pinks,essie
need a vacation,classic,4.9,9,#eca5b8,"rgb(236,165,165)",pinks,essie
delhi dance,classic,5,2,#ea93a9,"rgb(234,147,147)",pinks,essie
pin me pink,classic,0,0,#e28a97,"rgb(226,138,138)",pinks,essie
perfect mate,classic,0,0,#d99e99,"rgb(217,158,158)",pinks,essie
out of the jukebox,classic,2.8,5,#eda196,"rgb(237,161,161)",pinks,essie
moments to mrs,gel couture,5,4,#df9cb9,"rgb(223,156,156)",pinks,essie
haute to trot,gel couture,4.3,15,#fc85b2,"rgb(252,133,133)",pinks,essie
lovie dovie,classic,4.5,11,#ecd6e1,"rgb(236,214,214)",pinks,essie
mod square,classic,4.8,33,#d57aa6,"rgb(213,122,122)",pinks,essie
"you, me & the sea",classic,5,1,#cb7b9b,"rgb(203,123,123)",pinks,essie
model citizen,gel couture,4.8,8,#e35d95,"rgb(227,93,93)",pinks,essie
pansy,classic,5,1,#fb6389,"rgb(251,99,99)",pinks,essie
babes in the booth,classic,0,0,#ce5474,"rgb(206,84,84)",pinks,essie
fairy tailor,gel couture,4.4,153,#fad5ce,"rgb(250,213,213)",pinks,essie
the it-factor,gel couture,4.5,16,#c80044,"rgb(200,0,0)",pinks,essie
the fuchsia is bright ,classic,0,0,#cd2f73,"rgb(205,47,47)",pinks,essie
sheer fantasy,gel couture,4.2,111,#fbc9ce,"rgb(251,201,201)",pinks,essie
inside scoop,gel couture,4.2,6,#fbb3c3,"rgb(251,179,179)",pinks,essie
secret story,classic,5,6,#de5491,"rgb(222,84,84)",pinks,essie
watermelon,classic,4.9,90,#d7034d,"rgb(215,3,3)",pinks,essie
sit me in front row,gel couture,3.4,14,#b30b41,"rgb(179,11,11)",pinks,essie
bachelorette bash,classic,5,25,#cd547d,"rgb(205,84,84)",pinks,essie
double breasted jacket,classic,4.8,4,#da828b,"rgb(218,130,130)",pinks,essie
haute in the heat,classic,4.9,17,#b51a4a,"rgb(181,26,26)",pinks,essie
"stop, drop & shop",classic,4.8,5,#8a3848,"rgb(138,56,56)",pinks,essie
v.i.please,gel couture,4.8,5,#c06d8e,"rgb(192,109,109)",pinks,essie
stitch by stitch,gel couture,4.8,13,#f991a2,"rgb(249,145,145)",pinks,essie
a touch of sugar,classic,5,1,#edbebf,"rgb(237,190,190)",corals,essie
sunrush metal,gel couture,4.7,32,#f38974,"rgb(243,137,137)",corals,essie
set in sandstone,classic,0,0,#f79d80,"rgb(247,157,157)",corals,essie
check in to check out,classic,0,0,#fc8676,"rgb(252,134,134)",corals,essie
sunset soiree,gel couture,0,0,#f15d5f,"rgb(241,93,93)",corals,essie
coastal couture,gel couture,0,0,#dd636a,"rgb(221,99,99)",corals,essie
cupids beau,classic,0,0,#f43f25,"rgb(244,63,63)",corals,essie
confection affection,classic,5,1,#f75c09,"rgb(247,92,92)",corals,essie
"yes, I canyon",classic,5,1,#d6574a,"rgb(214,87,87)",corals,essie
rust worthy,classic,5,1,#532b1d,"rgb(83,43,43)",corals,essie
coral coast,classic,3.3,4,#f8c19f,"rgb(248,193,193)",corals,essie
Sunday funday,classic,4.9,25,#fb5151,"rgb(251,81,81)",corals,essie
resort fling,classic,5,9,#fe6047,"rgb(254,96,96)",corals,essie
hold the position,gel couture,3.7,3,#fcb3aa,"rgb(252,179,179)",corals,essie
stones n' roses,classic,4.5,8,#fca0a9,"rgb(252,160,160)",corals,essie
couture curator ,gel couture,4.5,134,#fdb3b9,"rgb(253,179,179)",corals,essie
exhibit a-line,gel couture,0,0,#fc8a75,"rgb(252,138,138)",corals,essie
peach side babe,classic,4,11,#ef6c68,"rgb(239,108,108)",corals,essie
tart deco,classic,4.6,84,#fd8e8d,"rgb(253,142,142)",corals,essie
claim to fame ,classic,2.3,26,#ca6c5f,"rgb(202,108,108)",corals,essie
looks to thrill,gel couture,4.7,18,#ff906f,"rgb(255,144,144)",corals,essie
signature smile,gel couture,4.6,13,#ff5e74,"rgb(255,94,94)",corals,essie
cute as a button,classic,4.8,69,#fe667b,"rgb(254,102,102)",corals,essie
guilty pleasures,classic,4.9,13,#f66f7b,"rgb(246,111,111)",corals,essie
strike a rose,classic,5,1,#e75287,"rgb(231,82,82)",corals,essie
on the list,gel couture,4.4,20,#e17069,"rgb(225,112,112)",corals,essie
sizzling hot style stunner,gel couture,0,0,#e82637,"rgb(232,38,38)",corals,essie
style stunner,gel couture,0,0,#f74f26,"rgb(247,79,79)",corals,essie
come here,classic,5,1,#fe5353,"rgb(254,83,83)",corals,essie
ole caliente,classic,5,4,#f6414a,"rgb(246,65,65)",corals,essie
sunshine state of mind,classic,4.7,3,#ea583e,"rgb(234,88,88)",corals,essie
at the helm,classic,4.5,2,#d86452,"rgb(216,100,100)",corals,essie
chubby cheeks,classic,5,1,#c94339,"rgb(201,67,67)",corals,essie
soles on fire,classic,2.1,16,#fe8301,"rgb(254,131,131)",corals,essie
too too hot,classic,5,11,#f63d38,"rgb(246,61,61)",corals,essie
meet me at sunset,classic,4.8,20,#f1381e,"rgb(241,56,56)",corals,essie
peach daiquiri,classic,4.7,29,#f64b5e,"rgb(246,75,75)",corals,essie
flashed,gel couture,0,0,#ff0018,"rgb(255,0,0)",corals,essie
clambake,classic,4.6,24,#fe2822,"rgb(254,40,40)",corals,essie
e-nuf is e-nuf,classic,4,2,#e6324d,"rgb(230,50,77)",corals,essie
tug at the harpstrings,classic,0,0,#96151e,"rgb(150,21,21)",reds,essie
yor're so cupid,classic,3,1,#ef4a64,"rgb(239,74,74)",reds,essie
feelin' poppy,classic,0,0,#ff2315,"rgb(255,35,35)",reds,essie
bold boundries,gel couture,0,0,#e60144,"rgb(230,1,1)",reds,essie
hustle n bustle,exprclassic,0,0,#e1564e,"rgb(225,86,86)",reds,essie
geranium,classic,5,32,#f82f16,"rgb(248,47,47)",reds,essie
libing legend,gel couture,5,4,#f00134,"rgb(240,1,1)",reds,essie
fifth avenue,classic,5,19,#e31207,"rgb(227,18,18)",reds,essie
spice it up,classic,0,0,#d21f1b,"rgb(210,31,31)",reds,essie
russian roulette,classic,5,23,#e92614,"rgb(233,38,38)",reds,essie
roses are red,classic,0,0,#9c0204,"rgb(156,2,2)",reds,essie
aperitif,classic,5,4,#e30704,"rgb(227,7,7)",reds,essie
plumberry,classic,4.9,17,#741631,"rgb(116,22,22)",reds,essie
surprise & delight,classic,0,0,#9b1420,"rgb(155,20,20)",reds,essie
lecquered uo,classic,4.8,19,#d90b1a,"rgb(217,11,11)",reds,essie
beaauty marked,gel couture,4.6,20,#d5011e,"rgb(213,1,1)",reds,essie
with the band,classic,4.4,13,#9d1e22,"rgb(157,30,30)",reds,essie
be cherry,classic,4.5,2,#b62140,"rgb(182,33,33)",reds,essie
berry nice,classic,5,1,#8e1e47,"rgb(142,30,30)",reds,essie
ring the bling,classic,5,3,#d73f5b,"rgb(215,63,63)",reds,essie
rock the runway,gel couture,4.5,24,#d10926,"rgb(209,9,9)",reds,essie
sequins on the rocks,gel couture,0,0,#bc364f,"rgb(188,54,54)",reds,essie
exotic liras,classic,4.5,6,#d1053c,"rgb(209,5,5)",reds,essie
she's pampered,classic,5,2,#b31a39,"rgb(179,26,26)",reds,essie
glazed days,classic,5,1,#d5006b,"rgb(213,0,0)",reds,essie
really red,classic,5,33,#c41614,"rgb(196,22,22)",reds,essie
game theory,classic,3,2,#882830,"rgb(136,40,40)",reds,essie
limited addiction,classic,4.9,12,#ab1f1c,"rgb(171,31,31)",reds,essie
#essielove,classic,0,0,#970a17,"rgb(151,10,10)",reds,essie
bolt and be bold,exprclassic,0,0,#d43609,"rgb(212,54,54)",reds,essie
notifications on,exprclassic,5,1,#a03f3e,"rgb(160,63,63)",reds,essie
cherry on top,classic,0,0,#d50346,"rgb(213,3,3)",reds,essie
lady in red,gel couture,0,0,#d30218,"rgb(211,2,2)",reds,essie
no red-y for bed,classic,0,0,#c00020,"rgb(192,0,0)",reds,essie
in a gingersnap,classic,0,0,#a51253,"rgb(165,18,18)",reds,essie
