name,type,score,raitings,hex,rgb,category,marca
knotty or nice,classic,2.7,7,#a01543,"rgb(160,21,21)",reds,essie
pjammin' all night,classic,0,0,#ac0035,"rgb(172,0,0)",reds,essie
adrenaline brush,classic,5,1,#c70201,"rgb(199,2,2)",reds,essie
seize the minute,exprclassic,4.7,275,#ba0c14,"rgb(186,12,12)",reds,essie
forever yummy,classic,4.8,53,#94020a,"rgb(148,2,2)",reds,essie
scarlet starlet,gel couture,0,0,#7b0104,"rgb(123,1,1)",reds,essie
hear me aurora,classic,3,1,#912144,"rgb(145,33,33)",reds,essie
wicked fierce,classic,0,0,#5b2f2c,"rgb(91,47,47)",reds,essie
fishnet stockings,classic,5,26,#7e141d,"rgb(126,20,20)",reds,essie
forever family,gel couture,4.9,7,#943255,"rgb(148,50,50)",reds,essie
angora cardi remixes ,classic,4.7,38,#af5566,"rgb(175,85,85)",reds,essie
scarlett o'hara,classic,5,12,#820f14,"rgb(130,15,15)",reds,essie
a-list,classic,4.7,27,#d00908,"rgb(208,9,9)",reds,essie
wrapped in rubies,classic,4.8,15,#701a21,"rgb(112,26,26)",reds,essie
drop the gown,gel couture,5,1,#830524,"rgb(131,5,5)",reds,essie
bubbles only,gel couture,4.1,20,#800014,"rgb(128,0,0)",reds,essie
ace of shades,classic,5,2,#54090e,"rgb(84,9,9)",reds,essie
paint the gown red,gel couture,5,1,#992a31,"rgb(153,42,42)",reds,essie
bordeaux,classic,4.9,50,#421517,"rgb(66,21,21)",reds,essie
berry naughty remixed,classic,4.7,38,#4b0404,"rgb(75,4,4)",reds,essie
spiked with style,gel couture,4.4,34,#4a0300,"rgb(74,3,3)",reds,essie
not so low-key,exprclassic,5,1,#690716,"rgb(105,7,7)",reds,essie
nailed it,classic,5,1,#832840,"rgb(131,40,40)",reds,essie
good knight,gel couture,4.5,118,#320104,"rgb(50,1,1)",reds,essie
love-fate relationship,classic,5,1,#4f161c,"rgb(79,22,22)",reds,essie
gala-vanting,gel couture,4.6,128,#5b001e,"rgb(91,0,0)",reds,essie
wicked,classic,4.9,193,#321d1f,"rgb(50,29,29)",reds,essie
berry naughty remixed,classic,4.8,45,#530101,"rgb(83,1,1)",reds,essie
rue de la ruby,gel couture,4.8,9,#830115,"rgb(131,1,1)",reds,essie
wicked remix,classic,4.9,193,#340c07,"rgb(52,12,12)",reds,essie
glow and arrow,classic,0,0,#fcd6ea,"rgb(252,214,214)",purples,essie
ruffle your petals,classic,0,0,#e8bee3,"rgb(232,190,190)",purples,essie
sugarplum fairytale,classic,5,1,#d4b1dd,"rgb(212,177,177)",purples,essie
bodice goddess,gel couture,5,1,#e59ab1,"rgb(229,154,154)",purples,essie
UV got me faded,classic,0,0,#d2a7c1,"rgb(210,167,167)",purples,essie
suits you swell,classic,5,1,#c172a1,"rgb(193,114,114)",purples,essie
worth the tassel,classic,0,0,#c18cd7,"rgb(193,140,140)",purples,essie
lace un and get down,classic,0,0,#83518e,"rgb(131,81,81)",purples,essie
love is in the air ,classic,0,0,#84214b,"rgb(132,33,33)",purples,essie
swing of things,classic,5,1,#7d0c3d,"rgb(125,12,12)",purples,essie
embossed lady,gel couture,0,0,#281528,"rgb(40,21,21)",purples,essie
tailored by twilight,gel couture,0,0,#380b1f,"rgb(56,11,11)",purples,essie
go ginza,classic,4.5,44,#cdbdd8,"rgb(205,189,189)",purples,essie
lilacism,classic,4.4,60,#c9b2de,"rgb(201,178,178)",purples,essie
nice is nice,classic,5,9,#d0b6d5,"rgb(208,182,182)",purples,essie
saved by the bell,classic,5,1,#f0a5c3,"rgb(240,165,165)",purples,essie
cascade cool,classic,4.9,14,#ea9cca,"rgb(234,156,156)",purples,essie
madison ave-hue,classic,4.9,20,#f765a4,"rgb(247,101,101)",purples,essie
style in excess,gel couture,4.3,40,#c6bccb,"rgb(198,188,188)",purples,essie
world is your oyster,classic,4.8,4,#8f77b0,"rgb(143,119,119)",purples,essie
play date,classic,4.8,116,#c495bd,"rgb(196,149,149)",purples,essie
what's the stitch,gel couture,0,0,#cdb5d0,"rgb(205,181,181)",purples,essie
spring in your step,classic,5,1,#d7aace,"rgb(215,170,170)",purples,essie
it takes a west village,classic,4.5,2,#cd86a5,"rgb(205,134,134)",purples,essie
dress call,gel couture,4.5,13,#c584b2,"rgb(197,132,132)",purples,essie
in my element,gel couture,5,2,#bc86a0,"rgb(188,134,134)",purples,essie
splash of grenadine,classic,4.8,20,#d474ad,"rgb(212,116,116)",purples,essie
shades on,classic,4.5,2,#9b80c2,"rgb(155,128,128)",purples,essie
girly grunge,classic,4.5,11,#9d8fa5,"rgb(157,143,143)",purples,essie
labels only,gel couture,4.6,15,#6d6fa7,"rgb(109,111,111)",purples,essie
you're a gem,classic,0,0,#8a5c5a,"rgb(138,92,92)",purples,essie
just the way you arctic,classic,5,1,#988492,"rgb(152,132,132)",purples,essie
flowerista,classic,5,5,#a23b84,"rgb(162,59,59)",purples,essie
drive-in & dine,classic,0,0,#cebec3,"rgb(206,190,190)",purples,essie
without reservations,classic,0,0,#7d1b47,"rgb(125,27,27)",purples,essie
set the seam,gel couture,0,0,#a9386a,"rgb(169,56,56)",purples,essie
big spender ,classic,5,40,#d3037f,"rgb(211,3,3)",purples,essie
beau-tie,gel couture,3,2,#592d87,"rgb(89,45,45)",purples,essie
hold'em tight,classic,0,0,#6a227d,"rgb(106,34,34)",purples,essie
unwrap me ,classic,4.3,3,#5f0e48,"rgb(95,14,14)",purples,essie
making harmony,classic,4.7,3,#734b60,"rgb(115,75,75)",purples,essie
sweet not sour,classic,5,1,#351029,"rgb(53,16,16)",purples,essie
tangoed in love,classic,2.3,38,#68259d,"rgb(104,37,37)",purples,essie
hazy daze,classic,0,0,#392b4d,"rgb(57,43,43)",purples,essie
jamaiza me crazy,classic,4.7,26,#961658,"rgb(150,22,22)",purples,essie
carry on ,classic,0,0,#47161c,"rgb(71,22,22)",purples,essie
not what it seems ,gel couture,5,3,#743143,"rgb(116,49,49)",purples,essie
"new year, new hue",classic,0,0,#66163d,"rgb(102,22,22)",purples,essie
turn n' pose,gel couture,4.6,7,#582740,"rgb(88,39,39)",purples,essie
knee-high life,classic,0,0,#800f37,"rgb(128,15,15)",purples,essie
sole mate,classic,5,31,#481421,"rgb(72,20,20)",purples,essie
berry in love,gel couture,4,1,#821045,"rgb(130,16,16)",purples,essie
sexy divide,classic,5,53,#2f0b53,"rgb(47,11,11)",purples,essie
in the lobby,classic,3.9,10,#50152d,"rgb(80,21,21)",purples,essie
bahama mama,classic,5,87,#4e1834,"rgb(78,24,24)",purples,essie
kimono-over,classic,4,6,#401f4f,"rgb(64,31,31)",purples,essie
sights on nightlights,classic,0,0,#4c3e60,"rgb(76,62,62)",purples,essie
luxedo,classic,0,0,#351d2d,"rgb(53,29,29)",purples,essie
graced in garnet,gel couture,5,6,#550f2a,"rgb(85,15,15)",purples,essie
model clicks,gel couture,4.6,18,#3e0017,"rgb(62,0,0)",purples,essie
amthyst noir ,gel couture,4.7,23,#372634,"rgb(55,38,38)",purples,essie
love at frost sight,classic,5,1,#c7d6ef,"rgb(199,214,214)",blues,essie
sway in crochet,classic,0,0,#9cd0eb,"rgb(156,208,208)",blues,essie
make a splash,classic,4,2,#c5c7d6,"rgb(197,199,199)",blues,essie
you do blue,classic,5,3,#b0bdea,"rgb(176,189,189)",blues,essie
wishing on a star,classic,0,0,#6f7897,"rgb(111,120,120)",blues,essie
from a to zzz,classic,0,0,#596d8d,"rgb(89,109,109)",blues,essie
whirl n' twirl,classic,0,0,#507cac,"rgb(80,124,124)",blues,essie
wild card,classic,2,1,#0450a6,"rgb(4,80,80)",blues,essie
get on board,classic,0,0,#065c95,"rgb(6,92,92)",blues,essie
ooh la lolly,classic,5,1,#215283,"rgb(33,82,82)",blues,essie
waterfall in love,classic,3.5,2,#3c4a8e,"rgb(60,74,74)",blues,essie
bustling bazaar,classic,0,0,#6dc3ba,"rgb(109,195,195)",blues,essie
brocade crusade,gel couture,0,0,#444559,"rgb(68,69,69)",blues,essie
tied and blue,classic,0,0,#2a3b88,"rgb(42,59,59)",blues,essie
in plane view,classic,5,1,#31666c,"rgb(49,102,102)",blues,essie
infinity cool,classic,0,0,#0d1438,"rgb(13,20,20)",blues,essie
let it ripple,classic,0,0,#b6e7f7,"rgb(182,231,231)",blues,essie
find me an oasis,classic,4.7,44,#eaf2f8,"rgb(234,242,242)",blues,essie
perfect posture,gel couture,3.7,6,#d6dcee,"rgb(214,220,220)",blues,essie
at sea level,classic,3.6,7,#bed0cf,"rgb(190,208,208)",blues,essie
getting intricate,gel couture,5,2,#c2dbd4,"rgb(194,219,219)",blues,essie
dye-mentions,gel couture,0,0,#a5d6d1,"rgb(165,214,214)",blues,essie
bikini so teeny,classic,4.7,22,#91a6e1,"rgb(145,166,166)",blues,essie
tiers of joy,classic,5,3,#b29fc6,"rgb(178,159,159)",blues,essie
salt water happy,classic,4.7,11,#9eb8dd,"rgb(158,184,184)",blues,essie
lapiz of luxury,classic,4.9,24,#809bc4,"rgb(128,155,155)",blues,essie
as if,classic,5,8,#6c7d9f,"rgb(108,125,125)",blues,essie
first view,gel couture,4.5,17,#8fb0bd,"rgb(143,176,176)",blues,essie
in the cab-ana,classic,4.8,95,#6dc0c9,"rgb(109,192,192)",blues,essie
take the lead,classic,3.8,4,#68b5d8,"rgb(104,181,181)",blues,essie
strut your stuff,classic,4.8,21,#2297cc,"rgb(34,151,151)",blues,essie
garden variety,classic,3.8,9,#7faeb3,"rgb(127,174,174)",blues,essie
glow with the flow,classic,0,0,#6283ab,"rgb(98,131,131)",blues,essie
blue-tiful horizon,classic,5,9,#877cac,"rgb(135,124,124)",blues,essie
pret-a-surfer,classic,0,0,#6a7cc3,"rgb(106,124,124)",blues,essie
butler please,classic,3.8,9,#314fe1,"rgb(49,79,79)",blues,essie
mezmerised,classic,4.9,21,#0e42b2,"rgb(14,66,66)",blues,essie
all access pass,classic,2.7,3,#3e3492,"rgb(62,52,52)",blues,essie
find me a mannequin ,gel couture,4.2,17,#292c80,"rgb(41,44,44)",blues,essie
loot the booty,classic,5,4,#112c66,"rgb(17,44,44)",blues,essie
cause & reflect,classic,0,0,#2d4f5e,"rgb(45,79,79)",blues,essie
anchor down,classic,5,1,#545d75,"rgb(84,93,93)",blues,essie
aruba blue,classic,5,59,#072c72,"rgb(7,44,44)",blues,essie
front page worthy,gel couture,5,2,#111b5d,"rgb(17,27,27)",blues,essie
no more film,classic,4.8,39,#2e2850,"rgb(46,40,40)",blues,essie
on your mistletoes,classic,5,2,#252e3f,"rgb(37,46,46)",blues,essie
bell-bottom blues,classic,4.6,10,#11354f,"rgb(17,53,53)",blues,essie
off duty style,gel couture,4.7,7,#03464f,"rgb(3,70,70)",blues,essie
dressed to the nineties,classic,2.5,8,#114d57,"rgb(17,77,77)",blues,essie
surrounded by studs,gel couture,4.5,11,#0f263b,"rgb(15,38,38)",blues,essie
after school boy blazer,classic,4.8,82,#0d1328,"rgb(13,19,19)",blues,essie
style cartel,classic,5,45,#0e2171,"rgb(14,33,33)",blues,essie
caviar bar,gel couture,4.4,21,#0c112b,"rgb(12,17,17)",blues,essie
booties on broadway,classic,5,3,#162a4a,"rgb(22,42,42)",blues,essie
bobbing for baubles,classic,5,3,#343c56,"rgb(52,60,60)",blues,essie
midnight cami,classic,4.8,39,#9b9db1,"rgb(155,157,157)",blues,essie
chillato,classic,4.9,132,#ecf2c0,"rgb(236,242,242)",greens,essie
fashion playground,classic,4.4,39,#d1ebd7,"rgb(209,235,235)",greens,essie
seas the day,classic,3.5,2,#c7f6f0,"rgb(199,246,246)",greens,essie
peppermint condition,classic,5,1,#d4eee3,"rgb(212,238,238)",greens,essie
express to impress,exprclassic,5,2,#c3f6c8,"rgb(195,246,246)",greens,essie
can dew attitude,classic,5,2,#d4dcc7,"rgb(212,220,220)",greens,essie
cacti on the prize,classic,0,0,#c7b78c,"rgb(199,183,183)",greens,essie
earn your tidal,classic,0,0,#b4a48c,"rgb(180,164,164)",greens,essie
precious cargo-go,exprclassic,4.6,247,#9a905c,"rgb(154,144,144)",greens,essie
come on clover,classic,0,0,#839f3b,"rgb(131,159,159)",greens,essie
reign check,classic,5,2,#7c8684,"rgb(124,134,134)",greens,essie
tide of your fice,classic,0,0,#626a74,"rgb(98,106,106)",greens,essie
heart of the jungle,classic,5,3,#6d7949,"rgb(109,121,121)",greens,essie
"but first, candy",classic,0,0,#014f1d,"rgb(1,79,79)",greens,essie
seater weather,classic,5,5,#68793f,"rgb(104,121,121)",greens,essie
under wraps,classic,2.8,4,#0f4648,"rgb(15,70,70)",greens,essie
jewels and jacquard only,gel couture,5,1,#024251,"rgb(2,66,66)",greens,essie
sage you love me ,gel couture,3.2,6,#c1ccc4,"rgb(193,204,204)",greens,essie
zip me up,gel couture,4,13,#d6e1c4,"rgb(214,225,225)",greens,essie
mint candy apple,classic,4.8,267,#b4d1c4,"rgb(180,209,209)",greens,essie
empower-mint,classic,3,4,#93cabc,"rgb(147,202,202)",greens,essie
turquoise & caicos,classic,2.1,17,#82dfd5,"rgb(130,223,223)",greens,essie
udon know me ,classic,5,2,#789ea8,"rgb(120,158,158)",greens,essie
bon boy-age,classic,0,0,#9dc4be,"rgb(157,196,196)",greens,essie
take a walk,gel couture,4.7,15,#bec386,"rgb(190,195,195)",greens,essie
beauty nap,gel couture,4.8,16,#9aaf8b,"rgb(154,175,175)",greens,essie
exposed,classic,4.3,7,#918474,"rgb(145,132,132)",greens,essie
spellbound,gel couture,4.8,4,#8d8e8b,"rgb(141,142,142)",greens,essie
where's my chauffeur,classic,4.9,35,#72c6c7,"rgb(114,198,198)",greens,essie
first timer,classic,0,0,#79e3b8,"rgb(121,227,227)",greens,essie
jade to measure ,gel couture,5,2,#64a98c,"rgb(100,169,169)",greens,essie
mojito medness,classic,4.9,43,#69ba7f,"rgb(105,186,186)",greens,essie
naughty nautical,classic,5,115,#0cbab3,"rgb(12,186,186)",greens,essie
stripes & sails,classic,5,1,#115d5c,"rgb(17,93,93)",greens,essie
trophy wife,classic,5,21,#10535d,"rgb(16,83,83)",greens,essie
go overboard,classic,5,33,#064255,"rgb(6,66,66)",greens,essie
off tropic,classic,4.2,13,#103730,"rgb(16,55,55)",greens,essie
wrap party,gel couture,4.5,20,#092b16,"rgb(9,43,43)",greens,essie
atelier at the bay,gel couture,0,0,#ffefd5,"rgb(255,239,239)",yellows,essie
sunny business,classic,0,0,#fef0c0,"rgb(254,240,240)",yellows,essie
avant-garment,gel couture,0,0,#ffe876,"rgb(255,232,232)",yellows,essie
hay there ,classic,2.3,3,#fed58b,"rgb(254,213,213)",yellows,essie
fall for nyc,classic,3.3,3,#f8ad6b,"rgb(248,173,173)",yellows,essie
check your baggage,classic,5,2,#ffbe63,"rgb(255,190,190)",yellows,essie
you know the espadrille,classic,0,0,#ed9c36,"rgb(237,156,156)",yellows,essie
sweet supply,classic,5,1,#fff101,"rgb(255,241,241)",yellows,essie
press pause,classic,5,1,#d5d5d5,"rgb(213,213,213)",grays,essie
roll with it,classic,0,0,#c4abaf,"rgb(196,171,171)",grays,essie
let's boogie,classic,0,0,#b6b9c0,"rgb(182,185,185)",grays,essie
binge-worthy,exprclassic,0,0,#ccbaac,"rgb(204,186,186)",grays,essie
easily suede,classic,5,1,#8e716c,"rgb(142,113,113)",grays,essie
no time for local,exprclassic,0,0,#937c6d,"rgb(147,124,124)",grays,essie
below zero,classic,0,0,#684d69,"rgb(104,77,77)",grays,essie
"stop, look &glisten",classic,5,1,#806c5b,"rgb(128,108,108)",grays,essie
smoking hot remixed,classic,4.9,73,#6d525e,"rgb(109,82,82)",grays,essie
now or never,exprclassic,5,1,#292929,"rgb(41,41,41)",grays,essie
closing night,gel couture,4.6,330,#99a0a6,"rgb(153,160,160)",grays,essie
cocktail bling,classic,4.9,17,#b8bacc,"rgb(184,186,186)",grays,essie
once upon a time ,gel couture,4.8,112,#bfbec7,"rgb(191,190,190)",grays,essie
without a stitch,classic,4.8,43,#c0b6b9,"rgb(192,182,182)",grays,essie
make the cut,gel couture,4.3,102,#e3ccca,"rgb(227,204,204)",grays,essie
maximilian strasse-her,classic,4.7,10,#9db1a7,"rgb(157,177,177)",grays,essie
the best-est,classic,5,1,#a0a0af,"rgb(160,160,160)",grays,essie
mooning,classic,4,3,#909ca7,"rgb(144,156,156)",grays,essie
master plan,classic,4.9,27,#afaaa9,"rgb(175,170,170)",grays,essie
gadget free,classic,0,0,#8b7973,"rgb(139,121,121)",grays,essie
chinchilly,classic,4.7,19,#a39193,"rgb(163,145,145)",grays,essie
serene slate,classic,4.5,2,#9da09b,"rgb(157,160,160)",grays,essie
social-lights,classic,4.8,4,#9a8f8e,"rgb(154,143,143)",grays,essie
toned down,classic,0,0,#8d8c9c,"rgb(141,140,140)",grays,essie
X toned down,classic,5,1,#80818e,"rgb(128,129,129)",grays,essie
merino cool,classic,4.9,56,#86707a,"rgb(134,112,112)",grays,essie
smokin'hot,classic,4.9,73,#4a4154,"rgb(74,65,65)",grays,essie
cashmere bathrobe ,classic,4.9,31,#3f4348,"rgb(63,67,67)",grays,essie
petal pushers,classic,4.8,25,#71747c,"rgb(113,116,116)",grays,essie
for the twill of it,classic,4.9,66,#504e51,"rgb(80,78,78)",grays,essie
winning streak,classic,3,3,#4e505f,"rgb(78,80,80)",grays,essie
twill seeker,gel couture,4.6,25,#4f4850,"rgb(79,72,72)",grays,essie
tribal text-styles,classic,5,2,#494542,"rgb(73,69,69)",grays,essie
over the edge,classic,4.7,18,#20191d,"rgb(32,25,25)",grays,essie
hang up the heels,gel couture,4,21,#151f1c,"rgb(21,31,31)",grays,essie
on mute,classic,5,1,#46454b,"rgb(70,69,69)",grays,essie
generation zen,classic,5,1,#473c38,"rgb(71,60,60)",grays,essie
licorice,classic,4.6,68,#1a1a1a,"rgb(26,26,26)",grays,essie
take me to thread,gel couture,4.5,198,#76555b,"rgb(118,85,85)",grays,essie
good as gold,classic,4.6,17,#e9d9c8,"rgb(233,217,217)",sheers,essie
no place like chrome,classic,4.5,17,#c3c3c3,"rgb(195,195,195)",sheers,essie
snowfalling for you,classic,0,0,#e4b0b1,"rgb(228,176,176)",pinks,opi
this shade is ornamental,classic,0,0,#d5959f,"rgb(213,149,149)",pinks,opi
merry cranberry,classic,0,0,#a3476b,"rgb(163,71,71)",pinks,opi
baby take a vow,classic,5,3,#d2babb,"rgb(210,186,186)",pinks,opi
shes a prismaniac,classic,1,1,#c46c93,"rgb(196,108,108)",pinks,opi
throw me a kiss,classic,3,1,#cfbcb7,"rgb(207,188,188)",pinks,opi
a-rose at dawn … broke by noon,classic,4,17,#9a7082,"rgb(154,112,112)",pinks,opi
aphrodites pink nightie,classic,4.5,9,#bf7e90,"rgb(191,126,126)",pinks,opi
california raspberry,classic,5,4,#bc1959,"rgb(188,25,25)",pinks,opi
charged up cherry,classic,5,2,#da5877,"rgb(218,88,88)",pinks,opi
chicago champagne toast,classic,4.3,15,#975d64,"rgb(151,93,93)",pinks,opi
cozu-melted in the sun,classic,3,5,#de9499,"rgb(222,148,148)",pinks,opi
dutch tulipa,classic,4.7,6,#db1b4f,"rgb(219,27,27)",pinks,opi
elephantastic pink,classic,4.2,3,#d2636d,"rgb(210,99,99)",pinks,opi
hawaiian orchid,classic,4.6,19,#d08388,"rgb(208,131,131)",pinks,opi
hotter than you pink,classic,4.8,4,#e27291,"rgb(226,114,114)",pinks,opi
I think in pink,classic,2.5,5,#eec9cf,"rgb(238,201,201)",pinks,opi
it’s a girl,classic,4.5,4,#eacace,"rgb(234,202,202)",pinks,opi
kiala beary,classic,5,7,#860730,"rgb(134,7,7)",pinks,opi
le pazitively hot,classic,4.7,3,#b72069,"rgb(183,32,32)",pinks,opi
not so bore boreing pink,classic,4,6,#ae8390,"rgb(174,131,131)",pinks,opi
passion,classic,3.8,14,#d4a4a2,"rgb(212,164,164)",pinks,opi
pink flamenco,classic,5,8,#c47b92,"rgb(196,123,123)",pinks,opi
pinking of you,classic,4.6,6,#e2b6c3,"rgb(226,182,182)",pinks,opi
pompei purple,classic,5,10,#9d0c3a,"rgb(157,12,12)",pinks,opi
princess rule,classic,5,19,#e29aa2,"rgb(226,154,154)",pinks,opi
rosy future,classic,5,16,#d5a4a0,"rgb(213,164,164)",pinks,opi
shorts story,classic,5,5,#af959f,"rgb(175,149,149)",pinks,opi
strawberry margarita,classic,4.7,41,#db294d,"rgb(219,41,41)",pinks,opi
suzi shops & island hops,classic,5,9,#eab8c5,"rgb(234,184,184)",pinks,opi
sweet heart,classic,4,3,#ebd7d4,"rgb(235,215,215)",pinks,opi
that’s berry daring,classic,4.9,5,#e6307c,"rgb(230,48,48)",pinks,opi
tickle my francey,classic,5,27,#bda0a4,"rgb(189,160,160)",pinks,opi
